Sample	Group	eccDNA	Type	GC
CbA1	Cb	chr1:15367535-15367799	Cb	0.492424
CbA1	Cb	chr1:16289660-16290826	Cb	0.397084
CbA1	Cb	chr1:16334978-16338208	Cb	0.351703
CbA1	Cb	chr1:16446151-16446354	Cb	0.546798
CbA1	Cb	chr1:16747727-16747989	Cb	0.400763
CbA1	Cb	chr1:16977138-16977351	Cb	0.455399
CbA1	Cb	chr1:16985862-16986824	Cb	0.419958
CbA1	Cb	chr1:17091142-17091729	Cb	0.468484
CbA1	Cb	chr1:17176738-17177033	Cb	0.40678
CbA1	Cb	chr1:17263315-17263890	Cb	0.325217
CbA1	Cb	chr1:17473548-17474783	Cb	0.507692
CbA1	Cb	chr1:17511803-17512266	Cb	0.414687
CbA1	Cb	chr1:17665794-17666188	Cb	0.439086
CbA1	Cb	chr1:17810881-17813891	Cb	0.384385
CbA1	Cb	chr1:18039043-18039258	Cb	0.432558
CbA1	Cb	chr1:18304883-18305508	Cb	0.2944
CbA1	Cb	chr1:18573732-18574111	Cb	0.414248
CbA1	Cb	chr1:18741295-18742904	Cb	0.359851
CbA1	Cb	chr1:19089558-19089859	Cb	0.458472
CbA1	Cb	chr1:19248948-19249530	Cb	0.388316
CbA1	Cb	chr1:19694055-19696482	Cb	0.356407
CbA1	Cb	chr1:20612677-20612886	Cb	0.497608
CbA1	Cb	chr1:21546230-21546575	Cb	0.423188
CbA1	Cb	chr1:21589387-21589592	Cb	0.385366
CbA1	Cb	chr1:21750337-21750905	Cb	0.341549
CbA1	Cb	chr1:21948310-21948477	Cb	0.275449
CbA1	Cb	chr1:22635602-22635795	Cb	0.450777
CbA1	Cb	chr1:22965626-22965903	Cb	0.411552
CbA1	Cb	chr1:23141943-23142703	Cb	0.405263
CbA1	Cb	chr1:23844056-23844331	Cb	0.469091
CbA1	Cb	chr1:23901423-23901535	Cb	0.464286
CbA1	Cb	chr1:24631646-24631949	Cb	0.389439
CbA1	Cb	chr1:24750996-24751156	Cb	0.3625
CbA1	Cb	chr1:24876972-24877335	Cb	0.539945
CbA1	Cb	chr1:24887929-24889628	Cb	0.357858
CbA1	Cb	chr1:25583003-25583579	Cb	0.397569
CbA1	Cb	chr1:25783653-25785580	Cb	0.372081
CbA1	Cb	chr1:25850824-25851176	Cb	0.420455
CbA1	Cb	chr1:26182065-26182349	Cb	0.341549
CbA1	Cb	chr1:26196210-26196573	Cb	0.250689
CbA1	Cb	chr1:26248670-26248946	Cb	0.398551
CbA1	Cb	chr1:26816651-26816879	Cb	0.236842
CbA1	Cb	chr1:27015785-27016390	Cb	0.447934
CbA1	Cb	chr1:27090029-27096341	Cb	0.376267
CbA1	Cb	chr1:27570748-27571166	Cb	0.366029
CbA1	Cb	chr1:27965233-27966167	Cb	0.309422
CbA1	Cb	chr1:27999449-27999767	Cb	0.415094
CbA1	Cb	chr1:28274933-28275493	Cb	0.369643
CbA1	Cb	chr1:28275293-28277118	Cb	0.380274
CbA1	Cb	chr1:28396684-28397188	Cb	0.267857
CbA1	Cb	chr1:28397793-28398413	Cb	0.440323
CbA1	Cb	chr1:28809928-28811808	Cb	0.318085
CbA1	Cb	chr1:29085671-29087833	Cb	0.369565
CbA1	Cb	chr1:29388333-29388654	Cb	0.364486
CbA1	Cb	chr1:29637312-29637491	Cb	0.424581
CbA1	Cb	chr1:29880933-29884415	Cb	0.314762
CbA1	Cb	chr1:30106516-30107349	Cb	0.388956
CbA1	Cb	chr1:30320567-30320933	Cb	0.434426
CbA1	Cb	chr1:30836652-30837606	Cb	0.371069
CbA1	Cb	chr1:30878428-30878638	Cb	0.447619
CbA1	Cb	chr1:31344420-31345821	Cb	0.367595
CbA1	Cb	chr1:31765425-31765768	Cb	0.405248
CbA1	Cb	chr1:31806286-31806648	Cb	0.433702
CbA1	Cb	chr1:31807751-31807892	Cb	0.397163
CbA1	Cb	chr1:33318407-33320701	Cb	0.346992
CbA1	Cb	chr1:33474800-33475776	Cb	0.375
CbA1	Cb	chr1:33585449-33585795	Cb	0.456647
CbA1	Cb	chr1:33854969-33855153	Cb	0.358696
CbA1	Cb	chr1:34311046-34311398	Cb	0.494318
CbA1	Cb	chr1:34818739-34819366	Cb	0.443381
CbA1	Cb	chr1:34953973-34955176	Cb	0.433084
CbA1	Cb	chr1:35063380-35063717	Cb	0.376855
CbA1	Cb	chr1:35125494-35125804	Cb	0.416129
CbA1	Cb	chr1:35735261-35735529	Cb	0.410448
CbA1	Cb	chr1:35804232-35804633	Cb	0.491272
CbA1	Cb	chr1:36018446-36018618	Cb	0.540698
CbA1	Cb	chr1:36113716-36113941	Cb	0.542222
CbA1	Cb	chr1:36217854-36220771	Cb	0.435722
CbA1	Cb	chr1:36288086-36288390	Cb	0.467105
CbA1	Cb	chr1:36324690-36325514	Cb	0.480583
CbA1	Cb	chr1:36334584-36334993	Cb	0.481663
CbA1	Cb	chr1:36484190-36485313	Cb	0.447017
CbA1	Cb	chr1:36488373-36488727	Cb	0.485876
CbA1	Cb	chr1:36804633-36804803	Cb	0.423529
CbA1	Cb	chr1:37146641-37147185	Cb	0.431985
CbA1	Cb	chr1:37825825-37826073	Cb	0.403226
CbA1	Cb	chr1:37934254-37934427	Cb	0.479769
CbA1	Cb	chr1:38343950-38344282	Cb	0.466867
CbA1	Cb	chr1:38485303-38485694	Cb	0.434783
CbA1	Cb	chr1:38495827-38496086	Cb	0.420849
CbA1	Cb	chr1:38761472-38761649	Cb	0.474576
CbA1	Cb	chr1:38883449-38884246	Cb	0.51192
CbA1	Cb	chr1:38887944-38888144	Cb	0.535
CbA1	Cb	chr1:39412930-39413289	Cb	0.345404
CbA1	Cb	chr1:40006829-40007476	Cb	0.474498
CbA1	Cb	chr1:40163497-40164055	Cb	0.455197
CbA1	Cb	chr1:40279713-40280238	Cb	0.485714
CbA1	Cb	chr1:41206050-41206281	Cb	0.372294
CbA1	Cb	chr1:41270489-41270705	Cb	0.50463
CbA1	Cb	chr1:41429274-41429458	Cb	0.440217
CbA1	Cb	chr1:41725286-41725502	Cb	0.425926
CbA1	Cb	chr1:41869623-41869949	Cb	0.392638
CbA1	Cb	chr1:41922266-41922976	Cb	0.408451
CbA1	Cb	chr1:42500137-42501587	Cb	0.396552
CbA1	Cb	chr1:42525869-42526202	Cb	0.435435
CbA1	Cb	chr1:42762342-42764316	Cb	0.412361
CbA1	Cb	chr1:42765709-42766231	Cb	0.39272
CbA1	Cb	chr1:42977897-42978262	Cb	0.449315
CbA1	Cb	chr1:43025271-43025755	Cb	0.448347
CbA1	Cb	chr1:43113752-43115918	Cb	0.403509
CbA1	Cb	chr1:43195509-43195801	Cb	0.39726
CbA1	Cb	chr1:43398360-43400651	Cb	0.435181
CbA1	Cb	chr1:43808989-43809166	Cb	0.468927
CbA1	Cb	chr1:44507767-44508664	Cb	0.400223
CbA1	Cb	chr1:45194179-45195418	Cb	0.453592
CbA1	Cb	chr1:45712945-45716123	Cb	0.353367
CbA1	Cb	chr1:45877897-45880851	Cb	0.362559
CbA1	Cb	chr1:45892462-45897256	Cb	0.391114
CbA1	Cb	chr1:46393774-46394072	Cb	0.35906
CbA1	Cb	chr1:47187654-47190393	Cb	0.386637
CbA1	Cb	chr1:47198733-47200246	Cb	0.363516
CbA1	Cb	chr1:47278818-47279468	Cb	0.396923
CbA1	Cb	chr1:48115542-48118679	Cb	0.345234
CbA1	Cb	chr1:48347431-48348496	Cb	0.3277
CbA1	Cb	chr1:48472937-48476506	Cb	0.360325
CbA1	Cb	chr1:48477725-48477971	Cb	0.451219
CbA1	Cb	chr1:48625433-48625859	Cb	0.34507
CbA1	Cb	chr1:49487478-49487599	Cb	0.380165
CbA1	Cb	chr1:49951585-49953099	Cb	0.416116
CbA1	Cb	chr1:49966718-49968472	Cb	0.331813
CbA1	Cb	chr1:50091406-50091597	Cb	0.314136
CbA1	Cb	chr1:50173286-50173549	Cb	0.437262
CbA1	Cb	chr1:50342727-50343031	Cb	0.322368
CbA1	Cb	chr1:50669241-50669503	Cb	0.400763
CbA1	Cb	chr1:50775445-50776367	Cb	0.393709
CbA1	Cb	chr1:50836200-50836463	Cb	0.452471
CbA1	Cb	chr1:50998564-50998823	Cb	0.482625
CbA1	Cb	chr1:51211404-51211786	Cb	0.384817
CbA1	Cb	chr1:51284148-51284669	Cb	0.372361
CbA1	Cb	chr1:51446963-51447645	Cb	0.439883
CbA1	Cb	chr1:51447876-51450491	Cb	0.41912
CbA1	Cb	chr1:51727401-51727585	Cb	0.483696
CbA1	Cb	chr1:51855795-51856166	Cb	0.485175
CbA1	Cb	chr1:52456309-52456723	Cb	0.347826
CbA1	Cb	chr1:52607760-52608257	Cb	0.400402
CbA1	Cb	chr1:53057195-53057420	Cb	0.355556
CbA1	Cb	chr1:53300199-53302780	Cb	0.362263
CbA1	Cb	chr1:53328806-53328933	Cb	0.385827
CbA1	Cb	chr1:53524200-53524474	Cb	0.379562
CbA1	Cb	chr1:53847979-53848730	Cb	0.395473
CbA1	Cb	chr1:55162006-55163212	Cb	0.477612
CbA1	Cb	chr1:55198184-55198390	Cb	0.38835
CbA1	Cb	chr1:55238776-55241476	Cb	0.404444
CbA1	Cb	chr1:55492839-55493190	Cb	0.452991
CbA1	Cb	chr1:55512552-55514850	Cb	0.398172
CbA1	Cb	chr1:56001760-56002025	Cb	0.343396
CbA1	Cb	chr1:56206601-56206990	Cb	0.321337
CbA1	Cb	chr1:56206704-56207073	Cb	0.338753
CbA1	Cb	chr1:56542323-56546355	Cb	0.383929
CbA1	Cb	chr1:56888663-56889148	Cb	0.428866
CbA1	Cb	chr1:56899551-56899974	Cb	0.456265
CbA1	Cb	chr1:57009211-57009441	Cb	0.43913
CbA1	Cb	chr1:57506498-57506868	Cb	0.394595
CbA1	Cb	chr1:58151499-58151725	Cb	0.429204
CbA1	Cb	chr1:59259910-59260150	Cb	0.4375
CbA1	Cb	chr1:59949217-59949635	Cb	0.361244
CbA1	Cb	chr1:60130179-60131002	Cb	0.402187
CbA1	Cb	chr1:60156271-60157161	Cb	0.425843
CbA1	Cb	chr1:60415896-60416274	Cb	0.396825
CbA1	Cb	chr1:60541001-60542473	Cb	0.317255
CbA1	Cb	chr1:61127823-61128075	Cb	0.484127
CbA1	Cb	chr1:62019776-62019974	Cb	0.388889
CbA1	Cb	chr1:62303868-62304126	Cb	0.290698
CbA1	Cb	chr1:62414322-62415086	Cb	0.463351
CbA1	Cb	chr1:62482927-62483150	Cb	0.38565
CbA1	Cb	chr1:62511680-62512596	Cb	0.366812
CbA1	Cb	chr1:62833349-62836639	Cb	0.42766
CbA1	Cb	chr1:62976872-62977029	Cb	0.490446
CbA1	Cb	chr1:63285995-63288384	Cb	0.301381
CbA1	Cb	chr1:63459747-63461594	Cb	0.391987
CbA1	Cb	chr1:64204594-64204759	Cb	0.442424
CbA1	Cb	chr1:65075534-65075899	Cb	0.408219
CbA1	Cb	chr1:65275316-65275424	Cb	0.388889
CbA1	Cb	chr1:65472963-65475096	Cb	0.356775
CbA1	Cb	chr1:65594597-65595692	Cb	0.390868
CbA1	Cb	chr1:65612156-65612553	Cb	0.357683
CbA1	Cb	chr1:65710472-65714748	Cb	0.366698
CbA1	Cb	chr1:66353678-66354192	Cb	0.317121
CbA1	Cb	chr1:66638360-66641399	Cb	0.398157
CbA1	Cb	chr1:66986973-66987932	Cb	0.410845
CbA1	Cb	chr1:67311110-67311450	Cb	0.429412
CbA1	Cb	chr1:67724556-67724697	Cb	0.283688
CbA1	Cb	chr1:67963903-67965257	Cb	0.425406
CbA1	Cb	chr1:68057040-68057395	Cb	0.405634
CbA1	Cb	chr1:68538583-68539259	Cb	0.387574
CbA1	Cb	chr1:69098869-69099567	Cb	0.323782
CbA1	Cb	chr1:69227362-69229956	Cb	0.36276
CbA1	Cb	chr1:70076385-70076839	Cb	0.378855
CbA1	Cb	chr1:70081601-70081918	Cb	0.334385
CbA1	Cb	chr1:70264701-70266694	Cb	0.381836
CbA1	Cb	chr1:71067086-71071983	Cb	0.384113
CbA1	Cb	chr1:71118753-71119481	Cb	0.449176
CbA1	Cb	chr1:71158664-71159366	Cb	0.415954
CbA1	Cb	chr1:71213175-71213787	Cb	0.366013
CbA1	Cb	chr1:71812452-71813178	Cb	0.458678
CbA1	Cb	chr1:71908505-71909085	Cb	0.406897
CbA1	Cb	chr1:72097575-72098131	Cb	0.375899
CbA1	Cb	chr1:72374427-72374820	Cb	0.396947
CbA1	Cb	chr1:72524635-72525949	Cb	0.378234
CbA1	Cb	chr1:72853387-72855051	Cb	0.508413
CbA1	Cb	chr1:72885599-72885903	Cb	0.509868
CbA1	Cb	chr1:73373816-73374035	Cb	0.447489
CbA1	Cb	chr1:74469758-74469888	Cb	0.446154
CbA1	Cb	chr1:74716495-74716785	Cb	0.472414
CbA1	Cb	chr1:74822261-74822514	Cb	0.438735
CbA1	Cb	chr1:74861525-74862162	Cb	0.354788
CbA1	Cb	chr1:75037231-75037663	Cb	0.37963
CbA1	Cb	chr1:75418041-75418267	Cb	0.530973
CbA1	Cb	chr1:75470077-75471010	Cb	0.46731
CbA1	Cb	chr1:75851270-75854857	Cb	0.406468
CbA1	Cb	chr1:75959784-75963726	Cb	0.376205
CbA1	Cb	chr1:76099186-76100010	Cb	0.43568
CbA1	Cb	chr1:76099187-76100010	Cb	0.434994
CbA1	Cb	chr1:76192223-76192477	Cb	0.46063
CbA1	Cb	chr1:76219156-76219568	Cb	0.468447
CbA1	Cb	chr1:76640363-76640559	Cb	0.418367
CbA1	Cb	chr1:76786563-76787842	Cb	0.354965
CbA1	Cb	chr1:76978659-76979089	Cb	0.430233
CbA1	Cb	chr1:77030168-77032453	Cb	0.369365
CbA1	Cb	chr1:77187546-77187928	Cb	0.458115
CbA1	Cb	chr1:77206125-77206313	Cb	0.393617
CbA1	Cb	chr1:77651897-77652295	Cb	0.399497
CbA1	Cb	chr1:78089378-78090030	Cb	0.432515
CbA1	Cb	chr1:78105641-78105976	Cb	0.355224
CbA1	Cb	chr1:78268548-78268750	Cb	0.445545
CbA1	Cb	chr1:78345183-78346156	Cb	0.398767
CbA1	Cb	chr1:78349662-78349820	Cb	0.493671
CbA1	Cb	chr1:78387814-78388292	Cb	0.462343
CbA1	Cb	chr1:79626509-79626839	Cb	0.351515
CbA1	Cb	chr1:80033208-80033598	Cb	0.412821
CbA1	Cb	chr1:80257012-80257434	Cb	0.419431
CbA1	Cb	chr1:80554016-80554544	Cb	0.344697
CbA1	Cb	chr1:80764118-80765559	Cb	0.333102
CbA1	Cb	chr1:81042634-81043103	Cb	0.315565
CbA1	Cb	chr1:81271118-81271345	Cb	0.414097
CbA1	Cb	chr1:81319554-81320364	Cb	0.362963
CbA1	Cb	chr1:81378413-81378861	Cb	0.359375
CbA1	Cb	chr1:81606907-81607222	Cb	0.47619
CbA1	Cb	chr1:81677855-81678843	Cb	0.334008
CbA1	Cb	chr1:81845864-81846347	Cb	0.455487
CbA1	Cb	chr1:81876112-81876416	Cb	0.401316
CbA1	Cb	chr1:82215522-82217270	Cb	0.348398
CbA1	Cb	chr1:82367665-82368052	Cb	0.472868
CbA1	Cb	chr1:82580229-82580476	Cb	0.477733
CbA1	Cb	chr1:82650894-82653400	Cb	0.431365
CbA1	Cb	chr1:82730350-82731093	Cb	0.419919
CbA1	Cb	chr1:84395075-84395476	Cb	0.416459
CbA1	Cb	chr1:85106427-85106618	Cb	0.439791
CbA1	Cb	chr1:85635846-85636189	Cb	0.41691
CbA1	Cb	chr1:86757396-86757968	Cb	0.367133
CbA1	Cb	chr1:87330574-87331538	Cb	0.369295
CbA1	Cb	chr1:87595279-87597080	Cb	0.49528
CbA1	Cb	chr1:88280202-88280798	Cb	0.437919
CbA1	Cb	chr1:88298401-88298727	Cb	0.429448
CbA1	Cb	chr1:88301198-88301580	Cb	0.513089
CbA1	Cb	chr1:88308858-88309467	Cb	0.441708
CbA1	Cb	chr1:88424883-88425534	Cb	0.513057
CbA1	Cb	chr1:88762290-88764246	Cb	0.448875
CbA1	Cb	chr1:88780287-88780696	Cb	0.474328
CbA1	Cb	chr1:89262230-89262440	Cb	0.5
CbA1	Cb	chr1:89470406-89470705	Cb	0.508361
CbA1	Cb	chr1:89594606-89595014	Cb	0.514706
CbA1	Cb	chr1:89640722-89641413	Cb	0.429812
CbA1	Cb	chr1:89955183-89955597	Cb	0.391304
CbA1	Cb	chr1:90007378-90007733	Cb	0.442254
CbA1	Cb	chr1:90120315-90120725	Cb	0.470732
CbA1	Cb	chr1:90129532-90130291	Cb	0.471673
CbA1	Cb	chr1:90551512-90551944	Cb	0.481481
CbA1	Cb	chr1:90639449-90639733	Cb	0.471831
CbA1	Cb	chr1:90743153-90744573	Cb	0.450704
CbA1	Cb	chr1:91202771-91203000	Cb	0.427948
CbA1	Cb	chr1:91260786-91261084	Cb	0.436242
CbA1	Cb	chr1:91644527-91645191	Cb	0.36747
CbA1	Cb	chr1:91852838-91853023	Cb	0.286486
CbA1	Cb	chr1:91865502-91866017	Cb	0.475728
CbA1	Cb	chr1:91929740-91930133	Cb	0.409669
CbA1	Cb	chr1:92538275-92541557	Cb	0.407678
CbA1	Cb	chr1:93282437-93282557	Cb	0.591667
CbA1	Cb	chr1:93852202-93852698	Cb	0.465726
CbA1	Cb	chr1:95117136-95117963	Cb	0.390568
CbA1	Cb	chr1:95661170-95661557	Cb	0.361757
CbA1	Cb	chr1:95969000-95971467	Cb	0.39319
CbA1	Cb	chr1:96122967-96123394	Cb	0.358314
CbA1	Cb	chr1:96131907-96132268	Cb	0.426593
CbA1	Cb	chr1:96834875-96837600	Cb	0.359633
CbA1	Cb	chr1:97225220-97228324	Cb	0.350515
CbA1	Cb	chr1:97587584-97587834	Cb	0.428
CbA1	Cb	chr1:98248902-98253877	Cb	0.36804
CbA1	Cb	chr1:98278262-98278568	Cb	0.356209
CbA1	Cb	chr1:98911743-98911820	Cb	0.467532
CbA1	Cb	chr1:98935568-98936661	Cb	0.412626
CbA1	Cb	chr1:99178680-99181596	Cb	0.391632
CbA1	Cb	chr1:99342509-99343430	Cb	0.322476
CbA1	Cb	chr1:99604575-99606377	Cb	0.357381
CbA1	Cb	chr1:99734452-99734657	Cb	0.502439
CbA1	Cb	chr1:100356618-100360373	Cb	0.397603
CbA1	Cb	chr1:100764710-100764984	Cb	0.379562
CbA1	Cb	chr1:100989856-100990721	Cb	0.443931
CbA1	Cb	chr1:101161994-101162459	Cb	0.395699
CbA1	Cb	chr1:101719035-101719419	Cb	0.403646
CbA1	Cb	chr1:101814420-101818084	Cb	0.333515
CbA1	Cb	chr1:102101949-102104512	Cb	0.357004
CbA1	Cb	chr1:102347649-102348088	Cb	0.396355
CbA1	Cb	chr1:102502424-102502851	Cb	0.344262
CbA1	Cb	chr1:102502570-102503117	Cb	0.396709
CbA1	Cb	chr1:103185993-103186306	Cb	0.421725
CbA1	Cb	chr1:103340854-103341905	Cb	0.381541
CbA1	Cb	chr1:103348292-103348489	Cb	0.492386
CbA1	Cb	chr1:103427799-103432127	Cb	0.344039
CbA1	Cb	chr1:103530866-103531509	Cb	0.33437
CbA1	Cb	chr1:104490719-104491547	Cb	0.378019
CbA1	Cb	chr1:104729470-104732153	Cb	0.377562
CbA1	Cb	chr1:104744377-104748106	Cb	0.422902
CbA1	Cb	chr1:104859302-104859730	Cb	0.371495
CbA1	Cb	chr1:104869317-104869947	Cb	0.388889
CbA1	Cb	chr1:105296886-105297880	Cb	0.419517
CbA1	Cb	chr1:105409576-105410266	Cb	0.411594
CbA1	Cb	chr1:105729932-105730260	Cb	0.335366
CbA1	Cb	chr1:106212306-106212658	Cb	0.426136
CbA1	Cb	chr1:106322719-106323512	Cb	0.42623
CbA1	Cb	chr1:106526663-106526896	Cb	0.467811
CbA1	Cb	chr1:106644071-106647044	Cb	0.423142
CbA1	Cb	chr1:106720539-106720886	Cb	0.357349
CbA1	Cb	chr1:106991845-106992132	Cb	0.355401
CbA1	Cb	chr1:107330124-107330505	Cb	0.354331
CbA1	Cb	chr1:107498094-107498539	Cb	0.393258
CbA1	Cb	chr1:107697024-107697236	Cb	0.462264
CbA1	Cb	chr1:108058042-108059045	Cb	0.333001
CbA1	Cb	chr1:108121006-108124262	Cb	0.359644
CbA1	Cb	chr1:108218380-108218620	Cb	0.366667
CbA1	Cb	chr1:108359331-108359832	Cb	0.323353
CbA1	Cb	chr1:108659299-108660120	Cb	0.360536
CbA1	Cb	chr1:108841084-108841414	Cb	0.439394
CbA1	Cb	chr1:109966763-109969334	Cb	0.336056
CbA1	Cb	chr1:110229391-110231172	Cb	0.376193
CbA1	Cb	chr1:110390835-110392651	Cb	0.294604
CbA1	Cb	chr1:110767041-110767748	Cb	0.434229
CbA1	Cb	chr1:110845205-110846177	Cb	0.430041
CbA1	Cb	chr1:110871622-110872200	Cb	0.441176
CbA1	Cb	chr1:110875842-110879016	Cb	0.342785
CbA1	Cb	chr1:111307875-111309778	Cb	0.369417
CbA1	Cb	chr1:112622223-112622657	Cb	0.248848
CbA1	Cb	chr1:112659965-112660214	Cb	0.385542
CbA1	Cb	chr1:112804689-112805213	Cb	0.379771
CbA1	Cb	chr1:112847964-112851444	Cb	0.391092
CbA1	Cb	chr1:113386107-113386456	Cb	0.424069
CbA1	Cb	chr1:113402001-113402229	Cb	0.447368
CbA1	Cb	chr1:113976373-113976721	Cb	0.425287
CbA1	Cb	chr1:114044479-114044620	Cb	0.297872
CbA1	Cb	chr1:114135045-114135289	Cb	0.409836
CbA1	Cb	chr1:114233555-114236550	Cb	0.348915
CbA1	Cb	chr1:114262713-114263263	Cb	0.390909
CbA1	Cb	chr1:114528222-114528371	Cb	0.442953
CbA1	Cb	chr1:114822770-114823147	Cb	0.371353
CbA1	Cb	chr1:115176227-115178055	Cb	0.405908
CbA1	Cb	chr1:115489531-115489750	Cb	0.424658
CbA1	Cb	chr1:115738339-115738928	Cb	0.336163
CbA1	Cb	chr1:116102688-116102969	Cb	0.423488
CbA1	Cb	chr1:116330308-116330500	Cb	0.401042
CbA1	Cb	chr1:116520882-116521135	Cb	0.411067
CbA1	Cb	chr1:117154169-117156869	Cb	0.353333
CbA1	Cb	chr1:117173871-117174502	Cb	0.424723
CbA1	Cb	chr1:117173872-117174502	Cb	0.42381
CbA1	Cb	chr1:117227789-117228365	Cb	0.414931
CbA1	Cb	chr1:117266831-117267263	Cb	0.421296
CbA1	Cb	chr1:117872836-117875431	Cb	0.39499
CbA1	Cb	chr1:118223073-118224448	Cb	0.354182
CbA1	Cb	chr1:118405061-118405793	Cb	0.446721
CbA1	Cb	chr1:118454360-118455098	Cb	0.476965
CbA1	Cb	chr1:118643448-118644255	Cb	0.511772
CbA1	Cb	chr1:119115707-119115980	Cb	0.461538
CbA1	Cb	chr1:119206432-119206791	Cb	0.328691
CbA1	Cb	chr1:119400055-119400888	Cb	0.515006
CbA1	Cb	chr1:119450108-119450285	Cb	0.531073
CbA1	Cb	chr1:119753663-119754339	Cb	0.428994
CbA1	Cb	chr1:119801460-119803112	Cb	0.340194
CbA1	Cb	chr1:120445593-120446155	Cb	0.357651
CbA1	Cb	chr1:121016482-121016641	Cb	0.465409
CbA1	Cb	chr1:121064347-121064732	Cb	0.420779
CbA1	Cb	chr1:121081645-121081872	Cb	0.361233
CbA1	Cb	chr1:121543810-121544613	Cb	0.449564
CbA1	Cb	chr1:121985088-121985481	Cb	0.496183
CbA1	Cb	chr1:122598025-122598259	Cb	0.405983
CbA1	Cb	chr1:123040748-123041032	Cb	0.369718
CbA1	Cb	chr1:123151458-123151733	Cb	0.378182
CbA1	Cb	chr1:123169848-123171431	Cb	0.345546
CbA1	Cb	chr1:123213671-123214074	Cb	0.344913
CbA1	Cb	chr1:123301111-123301321	Cb	0.414286
CbA1	Cb	chr1:123544305-123544707	Cb	0.442786
CbA1	Cb	chr1:123888493-123888968	Cb	0.456842
CbA1	Cb	chr1:124374246-124374742	Cb	0.33871
CbA1	Cb	chr1:124608283-124609070	Cb	0.415502
CbA1	Cb	chr1:124804875-124805296	Cb	0.413302
CbA1	Cb	chr1:124992046-124992817	Cb	0.357977
CbA1	Cb	chr1:125233281-125234248	Cb	0.356774
CbA1	Cb	chr1:125749196-125749390	Cb	0.469072
CbA1	Cb	chr1:125871174-125871455	Cb	0.469751
CbA1	Cb	chr1:126621777-126626033	Cb	0.414709
CbA1	Cb	chr1:126726351-126726733	Cb	0.395288
CbA1	Cb	chr1:126743918-126746289	Cb	0.468157
CbA1	Cb	chr1:126831390-126831862	Cb	0.394068
CbA1	Cb	chr1:127244054-127244666	Cb	0.509804
CbA1	Cb	chr1:127802538-127803488	Cb	0.532632
CbA1	Cb	chr1:127826693-127827170	Cb	0.425577
CbA1	Cb	chr1:128479201-128479582	Cb	0.44357
CbA1	Cb	chr1:128495907-128497367	Cb	0.435616
CbA1	Cb	chr1:129373571-129373960	Cb	0.336761
CbA1	Cb	chr1:129598604-129598879	Cb	0.425455
CbA1	Cb	chr1:129631338-129631918	Cb	0.405172
