Sample	Type	Group	Chr	Ratio	Mapped	Total
BcY5	Bc	Young	chr8	0.0401	2500837	62420984
BcY5	Bc	Young	chr9	0.0703	4386665	62420984
BcY5	Bc	Young	chr10	0.0373	2325238	62420984
BcY5	Bc	Young	chr11	0.0514	3206461	62420984
BcY5	Bc	Young	chr12	0.04	2496654	62420984
BcY5	Bc	Young	chr13	0.0415	2590700	62420984
BcY5	Bc	Young	chr14	0.0688	4294212	62420984
BcY5	Bc	Young	chr15	0.0372	2323010	62420984
BcY5	Bc	Young	chr16	0.026	1623183	62420984
BcY5	Bc	Young	chr17	0.0292	1819954	62420984
BcY5	Bc	Young	chr18	0.0295	1839753	62420984
BcY5	Bc	Young	chr19	0.0151	939667	62420984
BcY5	Bc	Young	chrM	0.0403	2516960	62420984
BcY5	Bc	Young	chrX	0.0273	1703049	62420984
BcY5	Bc	Young	chrY	0.0668	4167361	62420984
BcY5	Bc	Young	UnMapped	0.07620000000000005	5150082	62420984
BcY6	Bc	Young	chr1	0.1562	11106375	71102836
BcY6	Bc	Young	chr2	0.1042	7410336	71102836
BcY6	Bc	Young	chr3	0.0559	3975615	71102836
BcY6	Bc	Young	chr4	0.0691	4911371	71102836
BcY6	Bc	Young	chr5	0.0346	2459391	71102836
BcY6	Bc	Young	chr6	0.0498	3540444	71102836
BcY6	Bc	Young	chr7	0.0315	2237149	71102836
BcY6	Bc	Young	chr8	0.0475	3375199	71102836
BcY6	Bc	Young	chr9	0.0946	6725869	71102836
BcY6	Bc	Young	chr10	0.0451	3208034	71102836
BcY6	Bc	Young	chr11	0.0273	1941278	71102836
BcY6	Bc	Young	chr12	0.1011	7190036	71102836
BcY6	Bc	Young	chr13	0.046	3268011	71102836
BcY6	Bc	Young	chr14	0.0809	5754886	71102836
BcY6	Bc	Young	chr15	0.0194	1381315	71102836
BcY6	Bc	Young	chr16	0.0266	1892390	71102836
BcY6	Bc	Young	chr17	0.0425	3022501	71102836
BcY6	Bc	Young	chr18	0.0232	1652287	71102836
BcY6	Bc	Young	chr19	0.02	1424351	71102836
BcY6	Bc	Young	chrM	0.0131	930562	71102836
BcY6	Bc	Young	chrX	0.0193	1370725	71102836
BcY6	Bc	Young	chrY	0.0413	2939380	71102836
BcY6	Bc	Young	UnMapped	0.034599999999999964	2546726	71102836
BcY7	Bc	Young	chr1	0.0708	7312775	103274916
BcY7	Bc	Young	chr2	0.0881	9102731	103274916
BcY7	Bc	Young	chr3	0.0528	5449212	103274916
BcY7	Bc	Young	chr4	0.0793	8189637	103274916
BcY7	Bc	Young	chr5	0.0927	9571152	103274916
BcY7	Bc	Young	chr6	0.0731	7548740	103274916
BcY7	Bc	Young	chr7	0.0391	4039819	103274916
BcY7	Bc	Young	chr8	0.0577	5963489	103274916
BcY7	Bc	Young	chr9	0.0727	7512956	103274916
BcY7	Bc	Young	chr10	0.0384	3970539	103274916
BcY7	Bc	Young	chr11	0.0655	6762446	103274916
BcY7	Bc	Young	chr12	0.0383	3953952	103274916
BcY7	Bc	Young	chr13	0.039	4026493	103274916
BcY7	Bc	Young	chr14	0.0714	7375284	103274916
BcY7	Bc	Young	chr15	0.0293	3024401	103274916
BcY7	Bc	Young	chr16	0.0292	3018248	103274916
BcY7	Bc	Young	chr17	0.0408	4212076	103274916
BcY7	Bc	Young	chr18	0.0379	3914765	103274916
BcY7	Bc	Young	chr19	0.0177	1831601	103274916
BcY7	Bc	Young	chrM	0.0147	1521706	103274916
BcY7	Bc	Young	chrX	0.0445	4596403	103274916
BcY7	Bc	Young	chrY	0.0308	3182975	103274916
BcY7	Bc	Young	UnMapped	0.02529999999999999	2676386	103274916
CbA1	Cb	Aged	chr1	0.0843	7682683	91141068
CbA1	Cb	Aged	chr2	0.0736	6706074	91141068
CbA1	Cb	Aged	chr3	0.0722	6580614	91141068
CbA1	Cb	Aged	chr4	0.0618	5630616	91141068
CbA1	Cb	Aged	chr5	0.0549	5007050	91141068
CbA1	Cb	Aged	chr6	0.0579	5280996	91141068
CbA1	Cb	Aged	chr7	0.0571	5205453	91141068
CbA1	Cb	Aged	chr8	0.0421	3834830	91141068
CbA1	Cb	Aged	chr9	0.0551	5019352	91141068
CbA1	Cb	Aged	chr10	0.0471	4289029	91141068
CbA1	Cb	Aged	chr11	0.0379	3451034	91141068
CbA1	Cb	Aged	chr12	0.0482	4389379	91141068
CbA1	Cb	Aged	chr13	0.0422	3845052	91141068
CbA1	Cb	Aged	chr14	0.0507	4620208	91141068
CbA1	Cb	Aged	chr15	0.0343	3126034	91141068
CbA1	Cb	Aged	chr16	0.0398	3627114	91141068
CbA1	Cb	Aged	chr17	0.034	3095313	91141068
CbA1	Cb	Aged	chr18	0.0362	3295096	91141068
CbA1	Cb	Aged	chr19	0.0414	3771212	91141068
CbA1	Cb	Aged	chrM	0.0336	3059520	91141068
CbA1	Cb	Aged	chrX	0.0501	4567159	91141068
CbA1	Cb	Aged	chrY	0.0195	1781671	91141068
CbA1	Cb	Aged	UnMapped	0.21699999999999997	25261178	91141068
CbA2	Cb	Aged	chr1	0.0762	5965964	78284239
CbA2	Cb	Aged	chr2	0.0847	6629300	78284239
CbA2	Cb	Aged	chr3	0.0591	4624738	78284239
CbA2	Cb	Aged	chr4	0.078	6103269	78284239
CbA2	Cb	Aged	chr5	0.0531	4157543	78284239
CbA2	Cb	Aged	chr6	0.0569	4456872	78284239
CbA2	Cb	Aged	chr7	0.0543	4249751	78284239
CbA2	Cb	Aged	chr8	0.0483	3783972	78284239
CbA2	Cb	Aged	chr9	0.0789	6173481	78284239
CbA2	Cb	Aged	chr10	0.0452	3537860	78284239
CbA2	Cb	Aged	chr11	0.0485	3799163	78284239
CbA2	Cb	Aged	chr12	0.058	4543568	78284239
CbA2	Cb	Aged	chr13	0.0406	3181580	78284239
CbA2	Cb	Aged	chr14	0.0472	3696843	78284239
CbA2	Cb	Aged	chr15	0.0393	3072775	78284239
CbA2	Cb	Aged	chr16	0.0371	2903718	78284239
CbA2	Cb	Aged	chr17	0.0333	2604302	78284239
CbA2	Cb	Aged	chr18	0.0297	2328729	78284239
CbA2	Cb	Aged	chr19	0.0238	1864036	78284239
CbA2	Cb	Aged	chrM	0.0367	2872243	78284239
CbA2	Cb	Aged	chrX	0.0449	3511301	78284239
CbA2	Cb	Aged	chrY	0.0155	1214480	78284239
CbA2	Cb	Aged	UnMapped	0.23019999999999996	23407343	78284239
CbA3	Cb	Aged	chr1	0.069	4110680	59569943
CbA3	Cb	Aged	chr2	0.0905	5388570	59569943
CbA3	Cb	Aged	chr3	0.0628	3740887	59569943
CbA3	Cb	Aged	chr4	0.0592	3529004	59569943
CbA3	Cb	Aged	chr5	0.058	3456107	59569943
CbA3	Cb	Aged	chr6	0.06	3574088	59569943
CbA3	Cb	Aged	chr7	0.0483	2874999	59569943
CbA3	Cb	Aged	chr8	0.0526	3135730	59569943
CbA3	Cb	Aged	chr9	0.0753	4483317	59569943
CbA3	Cb	Aged	chr10	0.0498	2967994	59569943
CbA3	Cb	Aged	chr11	0.058	3454145	59569943
CbA3	Cb	Aged	chr12	0.0481	2865921	59569943
CbA3	Cb	Aged	chr13	0.0456	2718764	59569943
CbA3	Cb	Aged	chr14	0.0517	3080725	59569943
CbA3	Cb	Aged	chr15	0.0354	2108992	59569943
CbA3	Cb	Aged	chr16	0.0299	1779970	59569943
CbA3	Cb	Aged	chr17	0.0333	1984529	59569943
CbA3	Cb	Aged	chr18	0.0362	2156120	59569943
CbA3	Cb	Aged	chr19	0.0239	1423443	59569943
CbA3	Cb	Aged	chrM	0.0366	2177664	59569943
CbA3	Cb	Aged	chrX	0.0429	2558034	59569943
CbA3	Cb	Aged	chrY	0.0153	909760	59569943
CbA3	Cb	Aged	UnMapped	0.2811	23296393	59569943
CbA4	Cb	Aged	chr1	0.0718	3947533	54967799
CbA4	Cb	Aged	chr2	0.0847	4656532	54967799
CbA4	Cb	Aged	chr3	0.0518	2845715	54967799
CbA4	Cb	Aged	chr4	0.0603	3313712	54967799
CbA4	Cb	Aged	chr5	0.0556	3053985	54967799
CbA4	Cb	Aged	chr6	0.0531	2920958	54967799
CbA4	Cb	Aged	chr7	0.0481	2645412	54967799
CbA4	Cb	Aged	chr8	0.0415	2281730	54967799
CbA4	Cb	Aged	chr9	0.0697	3833587	54967799
CbA4	Cb	Aged	chr10	0.0431	2371160	54967799
CbA4	Cb	Aged	chr11	0.0393	2162842	54967799
CbA4	Cb	Aged	chr12	0.047	2585341	54967799
CbA4	Cb	Aged	chr13	0.0459	2521398	54967799
CbA4	Cb	Aged	chr14	0.0436	2394743	54967799
CbA4	Cb	Aged	chr15	0.0456	2506731	54967799
CbA4	Cb	Aged	chr16	0.0352	1934269	54967799
CbA4	Cb	Aged	chr17	0.0642	3526800	54967799
CbA4	Cb	Aged	chr18	0.0355	1953078	54967799
CbA4	Cb	Aged	chr19	0.0327	1796037	54967799
CbA4	Cb	Aged	chrM	0.0304	1672013	54967799
CbA4	Cb	Aged	chrX	0.0439	2412304	54967799
CbA4	Cb	Aged	chrY	0.0128	703985	54967799
CbA4	Cb	Aged	UnMapped	0.37129999999999996	32468397	54967799
CbA5	Cb	Aged	chr1	0.0944	7262078	76902262
CbA5	Cb	Aged	chr2	0.0766	5891193	76902262
CbA5	Cb	Aged	chr3	0.0535	4117797	76902262
CbA5	Cb	Aged	chr4	0.0703	5404286	76902262
CbA5	Cb	Aged	chr5	0.0598	4598828	76902262
CbA5	Cb	Aged	chr6	0.0631	4855580	76902262
CbA5	Cb	Aged	chr7	0.0503	3868655	76902262
CbA5	Cb	Aged	chr8	0.0436	3351138	76902262
CbA5	Cb	Aged	chr9	0.0661	5080621	76902262
CbA5	Cb	Aged	chr10	0.0412	3166484	76902262
CbA5	Cb	Aged	chr11	0.0453	3480974	76902262
CbA5	Cb	Aged	chr12	0.0496	3812034	76902262
CbA5	Cb	Aged	chr13	0.0444	3414665	76902262
CbA5	Cb	Aged	chr14	0.0496	3812316	76902262
CbA5	Cb	Aged	chr15	0.0521	4005762	76902262
CbA5	Cb	Aged	chr16	0.0414	3181498	76902262
CbA5	Cb	Aged	chr17	0.0404	3108105	76902262
CbA5	Cb	Aged	chr18	0.0342	2629002	76902262
CbA5	Cb	Aged	chr19	0.0257	1980028	76902262
CbA5	Cb	Aged	chrM	0.029	2232046	76902262
CbA5	Cb	Aged	chrX	0.0421	3233802	76902262
CbA5	Cb	Aged	chrY	0.0163	1250585	76902262
CbA5	Cb	Aged	UnMapped	0.29600000000000004	32333040	76902262
CbA6	Cb	Aged	chr1	0.0704	3313780	47081378
CbA6	Cb	Aged	chr2	0.1106	5208106	47081378
CbA6	Cb	Aged	chr3	0.054	2541582	47081378
CbA6	Cb	Aged	chr4	0.058	2731362	47081378
CbA6	Cb	Aged	chr5	0.0507	2386389	47081378
CbA6	Cb	Aged	chr6	0.0543	2557698	47081378
CbA6	Cb	Aged	chr7	0.0577	2718393	47081378
CbA6	Cb	Aged	chr8	0.0571	2689752	47081378
CbA6	Cb	Aged	chr9	0.1053	4957857	47081378
CbA6	Cb	Aged	chr10	0.0439	2069040	47081378
CbA6	Cb	Aged	chr11	0.0434	2041746	47081378
CbA6	Cb	Aged	chr12	0.0489	2301389	47081378
CbA6	Cb	Aged	chr13	0.0379	1783398	47081378
CbA6	Cb	Aged	chr14	0.0516	2430594	47081378
CbA6	Cb	Aged	chr15	0.0369	1739638	47081378
CbA6	Cb	Aged	chr16	0.0332	1561607	47081378
CbA6	Cb	Aged	chr17	0.0366	1722399	47081378
CbA6	Cb	Aged	chr18	0.0283	1332442	47081378
CbA6	Cb	Aged	chr19	0.0296	1392616	47081378
CbA6	Cb	Aged	chrM	0.0217	1022035	47081378
CbA6	Cb	Aged	chrX	0.0389	1829697	47081378
CbA6	Cb	Aged	chrY	0.0113	532378	47081378
CbA6	Cb	Aged	UnMapped	0.2528	15929184	47081378
CbA7	Cb	Aged	chr1	0.0719	4072467	56666906
CbA7	Cb	Aged	chr2	0.1008	5712363	56666906
CbA7	Cb	Aged	chr3	0.0627	3555017	56666906
CbA7	Cb	Aged	chr4	0.0532	3012175	56666906
CbA7	Cb	Aged	chr5	0.0659	3733425	56666906
CbA7	Cb	Aged	chr6	0.065	3684257	56666906
CbA7	Cb	Aged	chr7	0.066	3737487	56666906
CbA7	Cb	Aged	chr8	0.0553	3131649	56666906
