Sample	Group	eccDNA	Type	GC
CbY1	Cb	chr1:9686484-9687882	Cb	0.344778
CbY1	Cb	chr1:9790144-9790705	Cb	0.42246
CbY1	Cb	chr1:10374643-10375033	Cb	0.435897
CbY1	Cb	chr1:10624226-10624519	Cb	0.389078
CbY1	Cb	chr1:10702660-10702955	Cb	0.328814
CbY1	Cb	chr1:11188469-11189522	Cb	0.42925
CbY1	Cb	chr1:11285563-11285920	Cb	0.347339
CbY1	Cb	chr1:11321984-11322190	Cb	0.441748
CbY1	Cb	chr1:11392527-11394018	Cb	0.341382
CbY1	Cb	chr1:11543569-11544114	Cb	0.324771
CbY1	Cb	chr1:11558361-11558734	Cb	0.367292
CbY1	Cb	chr1:11774961-11775689	Cb	0.320055
CbY1	Cb	chr1:11896092-11897545	Cb	0.43565
CbY1	Cb	chr1:11918363-11918483	Cb	0.466667
CbY1	Cb	chr1:12087263-12087519	Cb	0.460938
CbY1	Cb	chr1:12163590-12163893	Cb	0.376238
CbY1	Cb	chr1:12271745-12272456	Cb	0.333333
CbY1	Cb	chr1:12272008-12272407	Cb	0.348371
CbY1	Cb	chr1:12510703-12511709	Cb	0.420477
CbY1	Cb	chr1:12945669-12946042	Cb	0.399464
CbY1	Cb	chr1:13174066-13174249	Cb	0.437158
CbY1	Cb	chr1:13324784-13325185	Cb	0.546135
CbY1	Cb	chr1:13628330-13628500	Cb	0.476471
CbY1	Cb	chr1:13628372-13628623	Cb	0.462151
CbY1	Cb	chr1:13794684-13795275	Cb	0.351946
CbY1	Cb	chr1:14570975-14571799	Cb	0.394417
CbY1	Cb	chr1:14612238-14612666	Cb	0.436916
CbY1	Cb	chr1:14648919-14649759	Cb	0.436905
CbY1	Cb	chr1:14864456-14864812	Cb	0.339888
CbY1	Cb	chr1:14931721-14931995	Cb	0.437956
CbY1	Cb	chr1:14978373-14979233	Cb	0.418605
CbY1	Cb	chr1:15180575-15181758	Cb	0.450549
CbY1	Cb	chr1:15467986-15468374	Cb	0.443299
CbY1	Cb	chr1:15807626-15807948	Cb	0.298137
CbY1	Cb	chr1:15996739-15997105	Cb	0.415301
CbY1	Cb	chr1:16190863-16191031	Cb	0.511905
CbY1	Cb	chr1:16247296-16248608	Cb	0.449695
CbY1	Cb	chr1:16251370-16251636	Cb	0.5
CbY1	Cb	chr1:16306049-16306298	Cb	0.441767
CbY1	Cb	chr1:16385598-16386093	Cb	0.456566
CbY1	Cb	chr1:16571462-16571879	Cb	0.294964
CbY1	Cb	chr1:16794010-16795190	Cb	0.4
CbY1	Cb	chr1:16982457-16982556	Cb	0.434343
CbY1	Cb	chr1:17363444-17363867	Cb	0.361702
CbY1	Cb	chr1:17406987-17407754	Cb	0.411995
CbY1	Cb	chr1:17550444-17550825	Cb	0.430446
CbY1	Cb	chr1:17646912-17647315	Cb	0.382134
CbY1	Cb	chr1:17777808-17778426	Cb	0.414239
CbY1	Cb	chr1:17811692-17811885	Cb	0.518135
CbY1	Cb	chr1:18129868-18130738	Cb	0.373563
CbY1	Cb	chr1:18241996-18242387	Cb	0.386189
CbY1	Cb	chr1:18553376-18553753	Cb	0.374005
CbY1	Cb	chr1:18715660-18716045	Cb	0.402597
CbY1	Cb	chr1:19063111-19063474	Cb	0.369146
CbY1	Cb	chr1:19068451-19068669	Cb	0.481651
CbY1	Cb	chr1:19091635-19092177	Cb	0.367159
CbY1	Cb	chr1:19416542-19417338	Cb	0.354271
CbY1	Cb	chr1:19555940-19556486	Cb	0.320513
CbY1	Cb	chr1:19659118-19659540	Cb	0.412322
CbY1	Cb	chr1:19792964-19793330	Cb	0.355191
CbY1	Cb	chr1:19960984-19961623	Cb	0.384977
CbY1	Cb	chr1:20144685-20145032	Cb	0.458213
CbY1	Cb	chr1:20264989-20265252	Cb	0.38403
CbY1	Cb	chr1:20351367-20351663	Cb	0.375
CbY1	Cb	chr1:20890719-20891128	Cb	0.594132
CbY1	Cb	chr1:21462080-21462495	Cb	0.349398
CbY1	Cb	chr1:21631843-21632248	Cb	0.380247
CbY1	Cb	chr1:21670333-21670684	Cb	0.45584
CbY1	Cb	chr1:21903985-21904321	Cb	0.419643
CbY1	Cb	chr1:22137194-22137544	Cb	0.411429
CbY1	Cb	chr1:22266762-22267153	Cb	0.460358
CbY1	Cb	chr1:22599494-22601260	Cb	0.381653
CbY1	Cb	chr1:22798577-22799024	Cb	0.362416
CbY1	Cb	chr1:22823813-22824165	Cb	0.329545
CbY1	Cb	chr1:22991478-22992920	Cb	0.373093
CbY1	Cb	chr1:23602583-23602933	Cb	0.451429
CbY1	Cb	chr1:23705750-23706348	Cb	0.448161
CbY1	Cb	chr1:23716232-23718986	Cb	0.450254
CbY1	Cb	chr1:24040085-24040445	Cb	0.363889
CbY1	Cb	chr1:24101478-24101955	Cb	0.383648
CbY1	Cb	chr1:24199755-24200104	Cb	0.378224
CbY1	Cb	chr1:24265355-24266772	Cb	0.392378
CbY1	Cb	chr1:24510199-24510399	Cb	0.45
CbY1	Cb	chr1:24679710-24681233	Cb	0.42285
CbY1	Cb	chr1:24776165-24776510	Cb	0.347826
CbY1	Cb	chr1:24817150-24818804	Cb	0.397219
CbY1	Cb	chr1:25364125-25365144	Cb	0.407262
CbY1	Cb	chr1:25412600-25413180	Cb	0.318966
CbY1	Cb	chr1:25731512-25731731	Cb	0.442922
CbY1	Cb	chr1:26798246-26798961	Cb	0.441958
CbY1	Cb	chr1:27631280-27632008	Cb	0.354396
CbY1	Cb	chr1:28893622-28893995	Cb	0.402145
CbY1	Cb	chr1:28900852-28901270	Cb	0.370813
CbY1	Cb	chr1:28993427-28993788	Cb	0.32687
CbY1	Cb	chr1:29019395-29019625	Cb	0.369565
CbY1	Cb	chr1:29118263-29118985	Cb	0.404432
CbY1	Cb	chr1:29199162-29199557	Cb	0.329114
CbY1	Cb	chr1:29440323-29440998	Cb	0.354074
CbY1	Cb	chr1:30064882-30065369	Cb	0.328542
CbY1	Cb	chr1:30216233-30217012	Cb	0.43389
CbY1	Cb	chr1:30395496-30395941	Cb	0.435955
CbY1	Cb	chr1:30467117-30467505	Cb	0.391753
CbY1	Cb	chr1:30481280-30481984	Cb	0.366477
CbY1	Cb	chr1:30503063-30503367	Cb	0.361842
CbY1	Cb	chr1:30754396-30754850	Cb	0.5
CbY1	Cb	chr1:30803387-30805301	Cb	0.473877
CbY1	Cb	chr1:31359748-31360603	Cb	0.363743
CbY1	Cb	chr1:31824038-31824896	Cb	0.405594
CbY1	Cb	chr1:31837909-31838228	Cb	0.398119
CbY1	Cb	chr1:31879603-31879876	Cb	0.395604
CbY1	Cb	chr1:31998984-31999717	Cb	0.365621
CbY1	Cb	chr1:33173241-33173417	Cb	0.431818
CbY1	Cb	chr1:33424398-33424662	Cb	0.435606
CbY1	Cb	chr1:33538620-33539311	Cb	0.435601
CbY1	Cb	chr1:33793038-33793594	Cb	0.419065
CbY1	Cb	chr1:34137540-34137902	Cb	0.430939
CbY1	Cb	chr1:34199526-34199908	Cb	0.455497
CbY1	Cb	chr1:34302318-34303880	Cb	0.492958
CbY1	Cb	chr1:34430339-34430776	Cb	0.453089
CbY1	Cb	chr1:34475425-34475634	Cb	0.483254
CbY1	Cb	chr1:34624077-34624444	Cb	0.405995
CbY1	Cb	chr1:35070262-35070619	Cb	0.535014
CbY1	Cb	chr1:35391092-35391448	Cb	0.539326
CbY1	Cb	chr1:35407867-35408060	Cb	0.445596
CbY1	Cb	chr1:35460388-35460921	Cb	0.382739
CbY1	Cb	chr1:35918169-35918526	Cb	0.526611
CbY1	Cb	chr1:36275104-36275521	Cb	0.541966
CbY1	Cb	chr1:36478704-36479240	Cb	0.501866
CbY1	Cb	chr1:36573077-36573628	Cb	0.546279
CbY1	Cb	chr1:36576518-36577080	Cb	0.533808
CbY1	Cb	chr1:36760235-36760418	Cb	0.57377
CbY1	Cb	chr1:36827446-36827760	Cb	0.442675
CbY1	Cb	chr1:36863040-36863479	Cb	0.416856
CbY1	Cb	chr1:36908322-36908520	Cb	0.474747
CbY1	Cb	chr1:37066038-37066821	Cb	0.376756
CbY1	Cb	chr1:37105080-37105348	Cb	0.511194
CbY1	Cb	chr1:37188480-37188799	Cb	0.438871
CbY1	Cb	chr1:37259556-37259709	Cb	0.464052
CbY1	Cb	chr1:37340097-37340808	Cb	0.443038
CbY1	Cb	chr1:37376406-37376947	Cb	0.539741
CbY1	Cb	chr1:37630951-37631550	Cb	0.519199
CbY1	Cb	chr1:38242180-38242548	Cb	0.423913
CbY1	Cb	chr1:38279350-38279562	Cb	0.391509
CbY1	Cb	chr1:38353626-38353803	Cb	0.457627
CbY1	Cb	chr1:38411311-38411470	Cb	0.402516
CbY1	Cb	chr1:38517167-38517531	Cb	0.445055
CbY1	Cb	chr1:38743616-38744019	Cb	0.416873
CbY1	Cb	chr1:38750884-38751349	Cb	0.44086
CbY1	Cb	chr1:38788801-38789203	Cb	0.437811
CbY1	Cb	chr1:38857790-38858315	Cb	0.466667
CbY1	Cb	chr1:38924792-38925159	Cb	0.419619
CbY1	Cb	chr1:39171043-39172643	Cb	0.41875
CbY1	Cb	chr1:39219826-39221139	Cb	0.414318
CbY1	Cb	chr1:39578405-39579147	Cb	0.411051
CbY1	Cb	chr1:39624370-39624732	Cb	0.464088
CbY1	Cb	chr1:39754296-39754702	Cb	0.490148
CbY1	Cb	chr1:39775968-39777439	Cb	0.440517
CbY1	Cb	chr1:39782016-39782366	Cb	0.38
CbY1	Cb	chr1:39912183-39912930	Cb	0.43909
CbY1	Cb	chr1:40059070-40059243	Cb	0.566474
CbY1	Cb	chr1:40156026-40156764	Cb	0.45935
CbY1	Cb	chr1:40326120-40326836	Cb	0.550279
CbY1	Cb	chr1:40343665-40344045	Cb	0.428947
CbY1	Cb	chr1:40490493-40490746	Cb	0.478261
CbY1	Cb	chr1:40605981-40608523	Cb	0.398899
CbY1	Cb	chr1:40733486-40733760	Cb	0.452555
CbY1	Cb	chr1:40733515-40733760	Cb	0.457143
CbY1	Cb	chr1:40918684-40918910	Cb	0.429204
CbY1	Cb	chr1:40959400-40959751	Cb	0.387464
CbY1	Cb	chr1:41919457-41919810	Cb	0.433428
CbY1	Cb	chr1:42054257-42055111	Cb	0.408665
CbY1	Cb	chr1:42068238-42068473	Cb	0.382979
CbY1	Cb	chr1:42188398-42188590	Cb	0.411458
CbY1	Cb	chr1:42348809-42349020	Cb	0.436019
CbY1	Cb	chr1:42387481-42387888	Cb	0.34398
CbY1	Cb	chr1:42460322-42461435	Cb	0.372866
CbY1	Cb	chr1:42527111-42527327	Cb	0.467593
CbY1	Cb	chr1:42835797-42835990	Cb	0.404145
CbY1	Cb	chr1:43115714-43116929	Cb	0.377778
CbY1	Cb	chr1:43133376-43133726	Cb	0.408571
CbY1	Cb	chr1:43165303-43165664	Cb	0.454294
CbY1	Cb	chr1:43250765-43251208	Cb	0.440181
CbY1	Cb	chr1:43260462-43260706	Cb	0.463115
CbY1	Cb	chr1:43448029-43448414	Cb	0.423377
CbY1	Cb	chr1:43511256-43511695	Cb	0.505695
CbY1	Cb	chr1:43530275-43531091	Cb	0.463235
CbY1	Cb	chr1:43530478-43530637	Cb	0.383648
CbY1	Cb	chr1:44171459-44175163	Cb	0.426026
CbY1	Cb	chr1:44585223-44585439	Cb	0.430556
CbY1	Cb	chr1:44650442-44650764	Cb	0.47205
CbY1	Cb	chr1:44830278-44831119	Cb	0.413793
CbY1	Cb	chr1:44838211-44839499	Cb	0.363354
CbY1	Cb	chr1:45265869-45266219	Cb	0.425714
CbY1	Cb	chr1:45624804-45625300	Cb	0.387097
CbY1	Cb	chr1:45628611-45629047	Cb	0.385321
CbY1	Cb	chr1:45728883-45729412	Cb	0.463138
CbY1	Cb	chr1:45914729-45915096	Cb	0.408719
CbY1	Cb	chr1:46181725-46181953	Cb	0.425439
CbY1	Cb	chr1:46298156-46298567	Cb	0.435523
CbY1	Cb	chr1:46548623-46548977	Cb	0.418079
CbY1	Cb	chr1:46726269-46726628	Cb	0.337047
CbY1	Cb	chr1:46781405-46781964	Cb	0.386404
CbY1	Cb	chr1:47062411-47062902	Cb	0.382892
CbY1	Cb	chr1:47113483-47113849	Cb	0.322404
CbY1	Cb	chr1:47129347-47129773	Cb	0.387324
CbY1	Cb	chr1:47204348-47205868	Cb	0.363158
CbY1	Cb	chr1:47274247-47274825	Cb	0.33391
CbY1	Cb	chr1:47309627-47309974	Cb	0.380403
CbY1	Cb	chr1:47696670-47697418	Cb	0.399733
CbY1	Cb	chr1:47778708-47779066	Cb	0.377095
CbY1	Cb	chr1:48040655-48042175	Cb	0.350658
CbY1	Cb	chr1:48107472-48107969	Cb	0.486922
CbY1	Cb	chr1:48169585-48171688	Cb	0.474085
CbY1	Cb	chr1:48480454-48480858	Cb	0.403465
CbY1	Cb	chr1:48965301-48965547	Cb	0.422764
CbY1	Cb	chr1:49261964-49262292	Cb	0.368902
CbY1	Cb	chr1:49404609-49407552	Cb	0.397893
CbY1	Cb	chr1:49742437-49742955	Cb	0.372587
CbY1	Cb	chr1:50210229-50210735	Cb	0.286561
CbY1	Cb	chr1:50318624-50320122	Cb	0.303738
CbY1	Cb	chr1:50459023-50459415	Cb	0.364796
CbY1	Cb	chr1:50483857-50484851	Cb	0.415493
CbY1	Cb	chr1:50505406-50505971	Cb	0.39115
CbY1	Cb	chr1:51319014-51319235	Cb	0.411765
CbY1	Cb	chr1:51366146-51366711	Cb	0.442478
CbY1	Cb	chr1:51924062-51925081	Cb	0.385672
CbY1	Cb	chr1:52067775-52068161	Cb	0.453368
CbY1	Cb	chr1:52113775-52114066	Cb	0.628866
CbY1	Cb	chr1:52397676-52398278	Cb	0.440199
CbY1	Cb	chr1:52472368-52472609	Cb	0.427386
CbY1	Cb	chr1:52499226-52499597	Cb	0.374663
CbY1	Cb	chr1:52511709-52512208	Cb	0.486974
CbY1	Cb	chr1:52520018-52520330	Cb	0.387821
CbY1	Cb	chr1:52675388-52676156	Cb	0.363281
CbY1	Cb	chr1:52753096-52753277	Cb	0.40884
CbY1	Cb	chr1:52936947-52937498	Cb	0.326679
CbY1	Cb	chr1:53530510-53531100	Cb	0.447458
CbY1	Cb	chr1:53671305-53671843	Cb	0.444238
CbY1	Cb	chr1:54092003-54092772	Cb	0.455137
CbY1	Cb	chr1:54151910-54152502	Cb	0.425676
CbY1	Cb	chr1:54575642-54575875	Cb	0.450644
CbY1	Cb	chr1:54606022-54606335	Cb	0.456869
CbY1	Cb	chr1:54638817-54639202	Cb	0.438961
CbY1	Cb	chr1:54833857-54834041	Cb	0.478261
CbY1	Cb	chr1:54947460-54947981	Cb	0.441459
CbY1	Cb	chr1:55208415-55208786	Cb	0.447439
CbY1	Cb	chr1:55483614-55483837	Cb	0.38565
CbY1	Cb	chr1:55965163-55965814	Cb	0.37788
CbY1	Cb	chr1:55998493-55998838	Cb	0.330435
CbY1	Cb	chr1:56180974-56181316	Cb	0.418129
CbY1	Cb	chr1:56186411-56187849	Cb	0.400556
CbY1	Cb	chr1:56700491-56701082	Cb	0.406091
CbY1	Cb	chr1:56789334-56789638	Cb	0.328947
CbY1	Cb	chr1:56972038-56972927	Cb	0.705287
CbY1	Cb	chr1:56990322-56990896	Cb	0.437282
CbY1	Cb	chr1:57218840-57219204	Cb	0.486264
CbY1	Cb	chr1:57777612-57777820	Cb	0.370192
CbY1	Cb	chr1:57981620-57982278	Cb	0.381459
CbY1	Cb	chr1:58084209-58084577	Cb	0.459239
CbY1	Cb	chr1:58355276-58355523	Cb	0.493927
CbY1	Cb	chr1:58666039-58666374	Cb	0.441791
CbY1	Cb	chr1:58924116-58925058	Cb	0.406582
CbY1	Cb	chr1:59012092-59012670	Cb	0.441176
CbY1	Cb	chr1:59353756-59354120	Cb	0.42033
CbY1	Cb	chr1:59557883-59558043	Cb	0.45625
CbY1	Cb	chr1:59585256-59585742	Cb	0.452675
CbY1	Cb	chr1:59995227-59995486	Cb	0.401544
CbY1	Cb	chr1:60058730-60060966	Cb	0.364043
CbY1	Cb	chr1:60105845-60106187	Cb	0.435673
CbY1	Cb	chr1:60318407-60318701	Cb	0.411565
CbY1	Cb	chr1:60523508-60524206	Cb	0.326648
CbY1	Cb	chr1:60535692-60536303	Cb	0.379705
CbY1	Cb	chr1:60569739-60569961	Cb	0.436937
CbY1	Cb	chr1:60576854-60577764	Cb	0.418681
CbY1	Cb	chr1:60578369-60578866	Cb	0.386318
CbY1	Cb	chr1:60653912-60654277	Cb	0.367123
CbY1	Cb	chr1:60675129-60676019	Cb	0.364045
CbY1	Cb	chr1:60708767-60709308	Cb	0.417745
CbY1	Cb	chr1:61256685-61257628	Cb	0.454931
CbY1	Cb	chr1:61747352-61747744	Cb	0.362245
CbY1	Cb	chr1:61750036-61750716	Cb	0.369118
CbY1	Cb	chr1:61788869-61789662	Cb	0.366961
CbY1	Cb	chr1:61933117-61933349	Cb	0.387931
CbY1	Cb	chr1:62121045-62121460	Cb	0.383133
CbY1	Cb	chr1:62163653-62164047	Cb	0.403553
CbY1	Cb	chr1:62195759-62196091	Cb	0.415663
CbY1	Cb	chr1:62408669-62409127	Cb	0.399563
CbY1	Cb	chr1:62577266-62577551	Cb	0.403509
CbY1	Cb	chr1:62578131-62578864	Cb	0.375171
CbY1	Cb	chr1:62828217-62828639	Cb	0.504739
CbY1	Cb	chr1:62920034-62920643	Cb	0.464696
CbY1	Cb	chr1:63078437-63078797	Cb	0.416667
CbY1	Cb	chr1:63918354-63918718	Cb	0.387363
CbY1	Cb	chr1:63974115-63974422	Cb	0.355049
CbY1	Cb	chr1:64166435-64166711	Cb	0.460145
CbY1	Cb	chr1:64285367-64285683	Cb	0.417722
CbY1	Cb	chr1:64311959-64313116	Cb	0.431288
CbY1	Cb	chr1:64519610-64520096	Cb	0.376543
CbY1	Cb	chr1:64658824-64659209	Cb	0.407792
CbY1	Cb	chr1:64710159-64710543	Cb	0.427083
CbY1	Cb	chr1:64781889-64782079	Cb	0.552632
CbY1	Cb	chr1:64785786-64786316	Cb	0.432075
CbY1	Cb	chr1:65551114-65551357	Cb	0.415638
CbY1	Cb	chr1:65732305-65732504	Cb	0.39196
CbY1	Cb	chr1:66031452-66033543	Cb	0.420373
CbY1	Cb	chr1:66352935-66353487	Cb	0.481884
CbY1	Cb	chr1:66389340-66389724	Cb	0.424479
CbY1	Cb	chr1:66443975-66444334	Cb	0.426184
CbY1	Cb	chr1:66674804-66674991	Cb	0.502674
CbY1	Cb	chr1:66938677-66939239	Cb	0.366548
CbY1	Cb	chr1:67001283-67001499	Cb	0.435185
CbY1	Cb	chr1:67011898-67012042	Cb	0.451389
CbY1	Cb	chr1:67084914-67085875	Cb	0.424558
CbY1	Cb	chr1:67088838-67090266	Cb	0.471289
CbY1	Cb	chr1:67294712-67296651	Cb	0.38164
CbY1	Cb	chr1:67396625-67396963	Cb	0.343195
CbY1	Cb	chr1:68274626-68274827	Cb	0.358209
CbY1	Cb	chr1:69018154-69019283	Cb	0.402126
CbY1	Cb	chr1:69022456-69023329	Cb	0.353952
CbY1	Cb	chr1:69077772-69078682	Cb	0.330769
CbY1	Cb	chr1:69150075-69150595	Cb	0.361538
CbY1	Cb	chr1:69374332-69374793	Cb	0.375271
CbY1	Cb	chr1:69387746-69388116	Cb	0.440541
CbY1	Cb	chr1:69532676-69533015	Cb	0.457227
CbY1	Cb	chr1:69607268-69607980	Cb	0.411517
CbY1	Cb	chr1:70152985-70153356	Cb	0.433962
CbY1	Cb	chr1:70397474-70398417	Cb	0.325557
CbY1	Cb	chr1:70486840-70487046	Cb	0.349515
CbY1	Cb	chr1:70492116-70493344	Cb	0.376222
CbY1	Cb	chr1:70626756-70627419	Cb	0.429864
CbY1	Cb	chr1:70626757-70627419	Cb	0.429003
CbY1	Cb	chr1:70663691-70663981	Cb	0.386207
CbY1	Cb	chr1:70700429-70700547	Cb	0.449153
CbY1	Cb	chr1:71034884-71035181	Cb	0.464646
CbY1	Cb	chr1:71293221-71295341	Cb	0.387264
CbY1	Cb	chr1:71313115-71313897	Cb	0.392583
CbY1	Cb	chr1:71441503-71442061	Cb	0.428315
CbY1	Cb	chr1:71495452-71496164	Cb	0.404494
CbY1	Cb	chr1:71541077-71541290	Cb	0.422535
CbY1	Cb	chr1:71577065-71577424	Cb	0.498607
CbY1	Cb	chr1:71585646-71586001	Cb	0.428169
CbY1	Cb	chr1:71985401-71985668	Cb	0.411985
CbY1	Cb	chr1:72013534-72013724	Cb	0.515789
CbY1	Cb	chr1:72358387-72359010	Cb	0.455859
CbY1	Cb	chr1:72384536-72384884	Cb	0.425287
CbY1	Cb	chr1:72771564-72772000	Cb	0.470183
CbY1	Cb	chr1:72954291-72954676	Cb	0.415584
CbY1	Cb	chr1:72961457-72961593	Cb	0.448529
CbY1	Cb	chr1:73018156-73018547	Cb	0.43734
CbY1	Cb	chr1:73617301-73617669	Cb	0.423913
CbY1	Cb	chr1:73660459-73660763	Cb	0.381579
CbY1	Cb	chr1:73814635-73815030	Cb	0.392405
CbY1	Cb	chr1:74888219-74889818	Cb	0.43152
CbY1	Cb	chr1:74934365-74935727	Cb	0.447871
CbY1	Cb	chr1:75125311-75127084	Cb	0.452905
CbY1	Cb	chr1:75211741-75211930	Cb	0.502645
CbY1	Cb	chr1:75636696-75637015	Cb	0.54232
CbY1	Cb	chr1:75776900-75777430	Cb	0.501887
CbY1	Cb	chr1:76253553-76254387	Cb	0.368106
CbY1	Cb	chr1:76484245-76485827	Cb	0.415929
CbY1	Cb	chr1:76537292-76537892	Cb	0.378333
CbY1	Cb	chr1:76810902-76811160	Cb	0.453488
CbY1	Cb	chr1:76894131-76894559	Cb	0.434579
CbY1	Cb	chr1:76999538-77000324	Cb	0.446565
CbY1	Cb	chr1:77062179-77062464	Cb	0.42807
CbY1	Cb	chr1:77080803-77081195	Cb	0.47449
CbY1	Cb	chr1:77208528-77210443	Cb	0.412533
CbY1	Cb	chr1:77355069-77357211	Cb	0.441643
CbY1	Cb	chr1:77600264-77600453	Cb	0.407407
CbY1	Cb	chr1:77703463-77703787	Cb	0.367284
CbY1	Cb	chr1:77747698-77747994	Cb	0.5
CbY1	Cb	chr1:77782381-77782640	Cb	0.316602
CbY1	Cb	chr1:77803499-77803861	Cb	0.392265
CbY1	Cb	chr1:77808965-77809767	Cb	0.44389
CbY1	Cb	chr1:78014242-78014601	Cb	0.398329
CbY1	Cb	chr1:78027271-78027643	Cb	0.365591
CbY1	Cb	chr1:78063863-78064726	Cb	0.383546
CbY1	Cb	chr1:78461608-78461973	Cb	0.479452
CbY1	Cb	chr1:78589803-78590187	Cb	0.388021
CbY1	Cb	chr1:78835982-78836617	Cb	0.447244
CbY1	Cb	chr1:78845468-78845870	Cb	0.373134
CbY1	Cb	chr1:78918147-78918750	Cb	0.399668
CbY1	Cb	chr1:78974428-78976147	Cb	0.357184
CbY1	Cb	chr1:79198715-79199760	Cb	0.300478
CbY1	Cb	chr1:79413437-79413818	Cb	0.480315
CbY1	Cb	chr1:79660588-79660951	Cb	0.440771
CbY1	Cb	chr1:79747241-79747531	Cb	0.437931
CbY1	Cb	chr1:79762943-79765221	Cb	0.446005
CbY1	Cb	chr1:79899392-79900029	Cb	0.398744
CbY1	Cb	chr1:79913899-79914278	Cb	0.401055
CbY1	Cb	chr1:79936138-79936804	Cb	0.418919
CbY1	Cb	chr1:80059184-80059567	Cb	0.469974
CbY1	Cb	chr1:80224995-80225123	Cb	0.515625
CbY1	Cb	chr1:80638835-80639383	Cb	0.448905
CbY1	Cb	chr1:80758121-80758336	Cb	0.655814
CbY1	Cb	chr1:80860715-80861078	Cb	0.37741
CbY1	Cb	chr1:81530505-81531164	Cb	0.39302
CbY1	Cb	chr1:81952885-81953307	Cb	0.362559
CbY1	Cb	chr1:82393868-82394149	Cb	0.462633
CbY1	Cb	chr1:82711913-82712095	Cb	0.434066
CbY1	Cb	chr1:82794318-82794756	Cb	0.461187
CbY1	Cb	chr1:83243299-83243652	Cb	0.351275
CbY1	Cb	chr1:83368314-83368656	Cb	0.350877
CbY1	Cb	chr1:83776538-83776684	Cb	0.342466
CbY1	Cb	chr1:84463508-84463687	Cb	0.402235
CbY1	Cb	chr1:84496393-84496797	Cb	0.413366
CbY1	Cb	chr1:84691147-84691359	Cb	0.462264
CbY1	Cb	chr1:84692835-84693085	Cb	0.436
CbY1	Cb	chr1:85062534-85062851	Cb	0.463722
CbY1	Cb	chr1:85181404-85182011	Cb	0.369028
CbY1	Cb	chr1:85824846-85826382	Cb	0.400391
CbY1	Cb	chr1:85951098-85952281	Cb	0.376162
CbY1	Cb	chr1:85987660-85988208	Cb	0.425182
CbY1	Cb	chr1:86201397-86201711	Cb	0.436306
CbY1	Cb	chr1:86526393-86526637	Cb	0.647541
CbY1	Cb	chr1:86870979-86871934	Cb	0.42199
CbY1	Cb	chr1:87165694-87166144	Cb	0.491111
CbY1	Cb	chr1:87201666-87203072	Cb	0.489331
CbY1	Cb	chr1:87394975-87395337	Cb	0.353591
CbY1	Cb	chr1:87728876-87729433	Cb	0.450628
CbY1	Cb	chr1:87919223-87919705	Cb	0.417012
CbY1	Cb	chr1:87940993-87941359	Cb	0.546448
CbY1	Cb	chr1:87945848-87946979	Cb	0.477454
CbY1	Cb	chr1:88126060-88126400	Cb	0.514706
CbY1	Cb	chr1:88222786-88223618	Cb	0.442308
CbY1	Cb	chr1:88252823-88253096	Cb	0.501832
CbY1	Cb	chr1:88271537-88271838	Cb	0.51495
CbY1	Cb	chr1:88285099-88287918	Cb	0.475346
CbY1	Cb	chr1:88676222-88676632	Cb	0.451219
CbY1	Cb	chr1:88736275-88736619	Cb	0.401163
CbY1	Cb	chr1:88749586-88750106	Cb	0.446154
